Original_Word,Safe_Replacement,Policy_Target
100%,Traditionally,Misleading Claims
Guaranteed,Traditionally believed,Misleading Claims
Guarantee,Belief,Misleading Claims
Fixed,Sacred,Misleading Claims
Sure!,Auspiciously,,Misleading Claims
Sure,Sacred,Misleading Claims
Cure,Balance,Medical claims
Heal,Peace,Medical claims
Medicine,Spiritual Practice,Medical claims
Illness,Imbalance,Medical claims
Disease,Energy Blockage,Medical claims
Wealth,Prosperity,Financial/Misleading
Rich,Abundance,Financial/Misleading
Jackpot,Success,Gambling/Misleading
Gambling,Chance,Gambling/Misleading
Miracle,Blessing,Misleading Claims
Magic,Divine Energy,Misleading Claims
Instantly,Sacredly,Misleading Claims
पक्का,मान्यता है,Misleading Claims (Hindi)
निश्चित,शुभ,Misleading Claims (Hindi)
चमत्कार,आशीर्वाद,Misleading Claims (Hindi)
तुरंत,पवित्र,Misleading Claims (Hindi)
इलाज,शांति,Medical claims (Hindi)
बीमारी,असंतुलन,Medical claims (Hindi)
अमीर,सौभाग्यशाली,Financial/Misleading (Hindi)
धन,समृद्धि,Financial/Misleading (Hindi)
